,Poblacion total,Superficie,Densidad,Porcentaje de poblacion urbana,Relacion hombre-mujer,Relacion de dependencia,Viviendas individuales,Promedio de ocupantes,Porcentaje de viviendas en buen estado,Porcentaje de viviendas haciendas,Porcentaje de alfabetizacion,10 a 24 annos,25 a mes annos,Escolaridad promedio,25 a 49 annos,50 o mas annos,Porcentaje de asistencia a la educacion,Menor de 5 annos,5 a 17 annos,18 a 24 annos,25 y mas annos,Personas fuera de la fuerza de trabajo (15 annos y mas),Tasa neta de participacion,Hombres,Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
Flores,20037,6.960000038,2878.879295,100,95.94171719,41.29469008,5751,3.479047122,83.01165015,2.364806121,99.08990783,99.26630974,99.01703801,10.61222149,11.46037877,8.984457198,32.36427883,25.82781457,91.32075472,50.90180361,9.379095675,41.06801072,58.93198928,74.33162123,44.46231902,9.310344828,7.775615112,9.40260518,9.028297649,28.52280463,11.19805
San Pablo,27671,7.53000021,3674.767494,100,93.13882878,38.62531937,8006,3.44366725,82.33824632,2.623032725,99.08666277,99.48372293,98.92384593,11.19582476,11.99514301,9.686257856,33.62937792,25.81736189,90.90568161,57.71284069,10.62628639,41.47698764,58.52301236,72.00191113,46.21225345,8.005133553,7.646995049,10.98261718,8.75284594,32.50366032,11.25406
Sarapiqui,57147,2140.540039,26.69746838,18.05694087,103.4425062,55.6206089,15768,3.602676306,44.67275495,9.145104008,94.38626347,98.230187,91.90770114,5.893849135,6.434638015,4.623602932,33.66173099,6.420404573,84.33335419,31.32799159,5.235771191,49.52214364,50.47785636,73.82929758,26.49159772,18.1350382,17.75771257,10.47299071,19.29760092,23.9633618,5.910705
Liberia,62987,1436.469971,43.84846275,81.97882103,95.94039694,49.88696666,16577,3.746998854,64.54123183,8.789286361,97.6893155,98.97226754,96.98044047,8.782080942,9.374555792,7.543774951,34.98275892,11.01434426,87.37029939,45.32522657,8.457771235,47.94207986,52.05792014,67.52502275,37.65254237,16.7545064,10.15288869,7.919094416,18.88961214,33.0565371,7.528503
Nicoya,50825,1333.680054,38.10884017,44.07083128,96.70640142,50.60597979,15038,3.378640777,56.31732943,5.206809416,97.2621508,99.45411626,96.2551259,8.103466974,9.034218795,6.745959007,31.10300859,13.60163016,88.07875573,45.06300845,6.659436744,56.27961165,43.72038835,60.18927109,28.0884134,17.49308756,3.333005411,13.84358091,14.22725037,30.69920844,5.885091
Santa Cruz,55104,1312.27002,41.99135786,48.06003194,98.06620898,48.10514433,16645,3.307239411,61.91048363,6.007810153,98.12183288,99.41381717,97.54407864,8.723482603,9.524654538,7.372096923,28.42860248,15.44624972,82.92070927,37.51891074,6.22249961,52.49399904,47.50600096,62.29156509,33.1678487,21.40968697,8.594657375,12.31671022,22.22524681,31.738437,4.920397
Bagaces,19536,1273.48999,15.34052105,46.68304668,101.7764925,54.45920304,5615,3.47747106,53.26803206,6.500445236,96.17058312,99.18555241,94.53918375,6.983904963,7.805494344,5.443679427,32.33167012,8.298999411,84.66613355,38.38130997,5.863192182,54.10700292,45.89299708,68.90768349,23.15536043,17.77239709,8.343570844,9.362203112,16.21621622,26.811211,5.520926
Carrillo,37122,577.539978,64.2760699,62.33230968,100.3994818,50.78597831,10141,3.654866384,61.65072478,8.963613056,97.80769105,99.10976326,97.15477066,8.145695364,8.76793376,6.981408451,29.38318422,10.21377672,84.83249197,32.92499463,4.866323277,53.50564359,46.49435641,63.94910113,29.25010963,17.73382501,12.10064113,10.1799472,19.64064436,29.23151281,5.817967
Cannas,26201,682.2000122,38.40662494,79.95496355,97.13339854,50.82316371,7172,3.645008366,54.75460123,7.82208589,96.42244775,98.79855827,95.15900057,7.542376491,8.309469574,6.08995687,33.08860547,10.65539112,87.40169865,39.14454277,7.119534355,50.17870283,49.82129717,70.84771355,29.83391429,14.32308698,8.137094004,9.663753292,15.95740621,28.75746066,6.023424
Abangares,18039,675.7600098,26.69438815,30.35644991,99.87811634,51.37198959,5311,3.392393146,49.65166635,5.385049896,95.5492173,98.84057971,93.82890617,6.792748207,7.696790675,5.236393623,30.27157514,9.530292716,85.44665296,35.12216405,4.757095243,52.87097501,47.12902499,69.62906889,25.00744269,21.81696503,3.686457121,11.96296912,19.17512057,26.70127944,6.608925
Tilaran,19640,638.3900146,30.76489223,50.68737271,98.30371567,52.9356798,6018,3.255566633,65.90229312,2.475905616,96.3625414,99.21710903,95.04750176,7.333479944,8.316573837,5.951322751,32.21683561,14.98655914,90.18966645,45.69868002,6.219211823,51.38388303,48.61611697,71.46017699,26.50876489,16.68826494,5.728105906,11.66496945,13.69653768,24.84818644,9.521436
Nandayure,11121,565.5900269,19.66265223,20.71756137,103.9801908,51.22382377,3307,3.352887814,50.71061385,3.749622014,96.20159151,99.2854823,94.70532619,6.730066183,7.725572821,5.247155747,31.1587147,10.693302,87.28189221,45.05576208,5.404979515,57.82442748,42.17557252,63.13429313,20.76199662,18.08227286,3.246110961,13.89263555,14.89074723,23.80809595,11.21863
La Cruz,19181,1383.900024,13.86010525,37.1461342,96.90996818,59.29740055,4732,4.052197802,41.61031276,10.73541843,93.76753899,98.58283108,90.54878049,6.24804007,7.073494168,4.481709402,34.92450639,6.221315655,82.68319358,34.03921569,6.641986063,54.64672669,45.35327331,68.74219725,22.97700806,32.07053073,18.22636985,9.373859549,30.01407643,27.61943818,7.290786
