Partido\Canton,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,ALIANZA DEMOCRATA CRISTIANA,DE LOS TRABAJADORES,FRENTE AMPLIO,INTEGRACION NACIONAL,LIBERACION NACIONAL,MOVIMIENTO LIBERTARIO,NUEVA GENERACION,RENOVACION COSTARRICENSE,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,UNIDAD SOCIAL CRISTIANA,VOTOS NULOS,VOTOS BLANCOS,TOTAL
ABANGARES,27,1156,65,12,51,985,1934,127,26,50,445,1920,1264,150,30,8242
TILARAN,25,1936,21,11,30,661,2207,63,51,49,693,2522,1763,88,16,10136
NANDAYURE,21,898,18,9,39,579,1330,106,48,47,326,1390,621,110,33,5575
LA CRUZ,11,713,14,13,20,638,1617,44,22,38,142,2221,1096,116,39,6744
HOJANCHA,7,807,4,5,9,496,1150,59,11,22,140,668,591,59,20,4048
PUNTARENAS,157,6518,107,92,369,6470,8041,399,312,250,2815,15979,7030,671,145,49355
ESPARZA,29,2140,39,19,105,1409,2985,114,84,47,1052,4470,2180,128,32,14833
BUENOS AIRES,59,1530,61,36,194,2060,3110,236,144,169,764,5983,2112,305,80,16843
MONTES DE ORO,19,1211,17,9,38,558,1054,54,43,36,224,2441,1018,79,16,6817
OSA,44,1011,68,22,133,1396,1973,122,61,48,725,4532,1100,235,36,11506
QUEPOS,56,1166,39,17,47,1287,1739,110,78,58,457,3948,1499,142,41,10684
GOLFITO,80,1590,75,32,118,1601,2578,160,54,100,665,5681,1692,287,55,14768
COTO BRUS,106,2060,82,38,96,1433,3524,236,71,83,667,5429,2446,281,79,16631
PARRITA,19,572,14,16,32,625,1453,103,16,25,221,2718,1078,120,32,7044
CORREDORES,70,1716,95,32,175,1728,3360,178,62,101,445,7499,1851,342,75,17729
GARABITO,16,814,10,11,40,895,1463,93,22,37,167,1416,1061,67,12,6124
LIMON,225,3277,274,97,266,4336,5553,357,162,335,1943,15704,3729,736,247,37241
POCOCI,423,7438,317,200,381,6829,9586,884,267,382,1785,21662,4634,881,174,55843
SIQUIRRES,141,2030,102,57,274,1737,4460,302,95,202,963,10253,1941,395,107,23059
TALAMANCA,30,872,70,26,268,724,1614,78,38,92,1259,3662,1460,218,107,10518
MATINA,56,731,76,35,94,771,2246,122,28,67,423,5839,1103,231,68,11890
GUACIMO,114,1702,164,38,151,1413,3225,220,67,137,605,7590,1174,357,66,17023
